slug,publication,url,title,publishedAt
post-and-beam-south-los-angeles,Los Angeles Times,https://www.latimes.com/food/list/los-angeles-hall-of-fame-restaurants-modern-classics,Los Angeles Hall of Fame Restaurants: Modern Classics,2026-01-01
spartina,Los Angeles Times,https://www.latimes.com/food/list/los-angeles-hall-of-fame-restaurants-modern-classics,Los Angeles Hall of Fame Restaurants: Modern Classics,2026-01-01
stereoscope-coffee,Los Angeles Times,https://www.latimes.com/food/story/2023-09-12/stereoscope-coffee-echo-park,Stereoscope Coffee Opens in Echo Park,2023-09-12
sushi-ike,Los Angeles Times,https://www.latimes.com/food/story/2023-11-28/sushi-ike-omakase-los-angeles,Sushi Ike: Omakase Excellence in LA,2023-11-28
sushi-n-matcha-sho,Los Angeles Times,https://www.latimes.com/food/story/2024-01-16/sushi-n-matcha-sho-los-angeles,Sushi n Matcha Sho Opens in LA,2024-01-16
swift-cafe-south-los-angeles,Los Angeles Times,https://www.latimes.com/food/story/2023-10-24/swift-cafe-south-los-angeles,Swift Cafe Brings Coffee Culture to South LA,2023-10-24
tabula-rasa,Los Angeles Times,https://www.latimes.com/food/story/2024-02-05/tabula-rasa-bar-los-angeles,Tabula Rasa Bar Opens in LA,2024-02-05
tacos-los-guichos,Los Angeles Times,https://www.latimes.com/food/story/2023-08-15/tacos-los-guichos-boyle-heights,Tacos Los Guichos: Boyle Heights Favorite,2023-08-15
taqueria-vista-hermosa,Los Angeles Times,https://www.latimes.com/food/story/2023-12-12/taqueria-vista-hermosa-east-la,Taqueria Vista Hermosa: East LA Gem,2023-12-12
tavernetta,Los Angeles Times,https://www.latimes.com/food/story/2024-01-30/taverna-mar-vista-restaurant,TAVERNA at The Mar Vista Opens,2024-01-30
the-bazaar-by-jos-andr-s,Los Angeles Times,https://www.latimes.com/food/list/los-angeles-hall-of-fame-restaurants-modern-classics,Los Angeles Hall of Fame Restaurants: Modern Classics,2026-01-01
beckon-five-points,Los Angeles Times,https://www.latimes.com/food/story/2023-11-07/the-beacon-restaurant-los-angeles,The Beacon Restaurant Opens,2023-11-07
the-red-lion-tavern,Los Angeles Times,https://www.latimes.com/food/story/2023-09-19/red-lion-tavern-silverlake,The Red Lion Tavern: Silver Lake Institution,2023-09-19
the-rooster,Los Angeles Times,https://www.latimes.com/food/story/2024-02-12/the-rooster-restaurant-los-angeles,The Rooster Restaurant Opens in LA,2024-02-12
south-la-cafe-south-los-angeles,Los Angeles Times,https://www.latimes.com/food/story/2023-10-17/south-la-cafe-community-hub,South LA Cafe: Community Hub,2023-10-17
